,title,author,added_at
0,Norwegian Wood,Murakami,2025-05-08
1,What I Talk About When I Talk About Running,Murakami,2025-05-08
2,After Dark,Murakami,2025-05-08
3,The Buried Giant,Kazuo Ishiguro,2025-05-08
4,If Cats Disappeared from the World,Genki Kawamura,2025-05-08
5,Novelist as a Vocation,Murakami,2025-05-08
6,Don Juan,Byron,2025-05-08
7,Лісова пісня,Леся Українка,2025-05-08
8,The Critic as Artist,Oscar Wilde,2025-05-08
9,Майстер Корабля,Юрій Яновський,2025-05-08
10,Невеличка Драма,В. Підмогильний,2025-05-08
